Time_Now;MBytes_Received;MME
2;0;0;
3;21.9754;10.9877;
4;30.4;20.6938;
5;36.6;28.6469;
6;27.2;27.9235;
7;30.6;29.2617;
8;39;34.1309;
9;27;30.5654;
10;12;21.2827;
11;42;31.6414;
12;20;25.8207;
13;23;24.4103;
14;39;31.7052;
15;12;21.8526;
16;33;27.4263;
17;36;31.7131;
18;12;21.8566;
19;30;25.9283;
20;39;32.4641;
21;22;27.2321;
22;25;26.116;
23;36;31.058;
24;18;24.529;
25;28;26.2645;
26;31;28.6323;
27;24;26.3161;
28;27;26.6581;
29;27;26.829;
30;33;29.9145;
31;21;25.4573;
32;32;28.7286;
33;29;28.8643;
34;18;23.4322;
35;33;28.2161;
36;29;28.608;
37;20;24.304;
38;15;19.652;
39;0;9.826;
40;0;4.913;
41;0;2.4565;
42;0;1.22825;
43;0;0.614125;
44;0;0.307063;
45;0;0.153531;
46;0;0.0767657;
47;0;0.0383828;
48;0;0.0191914;
49;0;0.00959571;
50;0;0.00479785;
51;0;0.00239893;
52;0;0.00119946;
53;0;0.000599732;
54;0;0.000299866;
55;0;0.000149933;
56;0;7.49665e-05;
57;0;3.74832e-05;
58;0;1.87416e-05;
59;0;9.37081e-06;
60;0;4.6854e-06;
61;0;2.3427e-06;
62;0;1.17135e-06;
63;0;5.85676e-07;
64;0;2.92838e-07;
65;0;1.46419e-07;
